네이버_수집일시,네이버_단지명,네이버_단지코드,네이버_시도,네이버_시군구,네이버_읍면동,네이버_공급면적,네이버_매매가,네이버_매매가_숫자,네이버_층정보,네이버_방향,네이버_상세정보,네이버_부동산사무소,네이버_확인일자,네이버_매물순번,KB_수집일시,KB_단지명,KB_주소,KB_공급면적,KB_하위평균,KB_일반평균,KB_상위평균,KB_부동산사무소,KB_전화번호,가격차이_만원,가격차이_비율,정규화단지명,공급면적_숫자
2025-07-13 18:07:03,극동미라주 102동,3420,서울시,성동구,하왕십리동,141A/114,11억,110011.0,1/23층,남향,"141A/114m², 1/23층, 남향",매경부동산 제공,25.07.11,4,2025-07-02 10:22:24,극동미라주,서울특별시 성동구 하왕십리동 1058,141.16A/114.63,115000.0,120000.0,125000.0,대성공인,02-2295-5888,4989.0,4.34,극동미라주,141A
2025-07-13 18:07:03,극동미라주 102동,3420,서울시,성동구,하왕십리동,141A/114,11억,110011.0,1/23층,남향,"141A/114m², 1/23층, 남향",매경부동산 제공,25.07.11,6,2025-07-02 10:22:24,극동미라주,서울특별시 성동구 하왕십리동 1058,141.16A/114.63,115000.0,120000.0,125000.0,대성공인,02-2295-5888,4989.0,4.34,극동미라주,141A
2025-07-13 18:07:03,극동미라주 102동,3420,서울시,성동구,하왕십리동,141A/114,11억,110011.0,1/23층,남향,"141A/114m², 1/23층, 남향",매경부동산 제공,25.07.03,27,2025-07-02 10:22:24,극동미라주,서울특별시 성동구 하왕십리동 1058,141.16A/114.63,115000.0,120000.0,125000.0,대성공인,02-2295-5888,4989.0,4.34,극동미라주,141A
2025-07-13 18:07:03,극동미라주 102동,3420,서울시,성동구,하왕십리동,141A/114,11억,110011.0,1/23층,남향,"141A/114m², 1/23층, 남향",부동산뱅크 제공,25.07.12,1,2025-07-02 10:22:24,극동미라주,서울특별시 성동구 하왕십리동 1058,141.16A/114.63,115000.0,120000.0,125000.0,대성공인,02-2295-5888,4989.0,4.34,극동미라주,141A
2025-07-13 17:52:40,극동그린 101동,563,서울시,성동구,옥수동,141/114,"12억 9,000",129000.0,,남동향,"141/114m², 저/19층, 남동향",선방 제공,25.07.11,58,2025-07-02 10:16:54,극동그린,서울특별시 성동구 옥수동 436,141.82/114.32,131500.0,145000.0,150000.0,그린공인,02-2297-0011,2500.0,1.9,극동그린,141
2025-07-13 17:09:42,래미안하이리버 107동,27575,서울시,성동구,금호동2가,110A/84,"16억 5,000",165000.0,,남서향,"110A/84m², 저/19층, 남서향",아실 제공,25.07.12,42,2025-07-02 10:00:55,래미안하이리버,서울특별시 성동구 금호동2가 1217,110.73A/84.98,166500.0,172500.0,181000.0,하이리버공인,02-2253-5500,1500.0,0.9,래미안하이리버,110A
2025-07-13 17:09:42,래미안하이리버 107동,27575,서울시,성동구,금호동2가,110A/84,"16억 5,000",165000.0,,남동향,"110A/84m², 저/19층, 남동향",매경부동산 제공,25.07.12,41,2025-07-02 10:00:55,래미안하이리버,서울특별시 성동구 금호동2가 1217,110.73A/84.98,166500.0,172500.0,181000.0,하이리버공인,02-2253-5500,1500.0,0.9,래미안하이리버,110A
2025-07-13 17:09:42,래미안하이리버 107동,27575,서울시,성동구,금호동2가,110A/84,"16억 5,000",165000.0,,남서향,"110A/84m², 저/19층, 남서향",부동산뱅크 제공,25.07.11,105,2025-07-02 10:00:55,래미안하이리버,서울특별시 성동구 금호동2가 1217,110.73A/84.98,166500.0,172500.0,181000.0,하이리버공인,02-2253-5500,1500.0,0.9,래미안하이리버,110A
2025-07-13 17:09:42,래미안하이리버 107동,27575,서울시,성동구,금호동2가,110A/84,"16억 5,000",165000.0,,남서향,"110A/84m², 저/19층, 남서향",매경부동산 제공,25.07.11,57,2025-07-02 10:00:55,래미안하이리버,서울특별시 성동구 금호동2가 1217,110.73A/84.98,166500.0,172500.0,181000.0,하이리버공인,02-2253-5500,1500.0,0.9,래미안하이리버,110A
2025-07-13 17:09:42,래미안하이리버 107동,27575,서울시,성동구,금호동2가,110A/84,"16억 5,000",165000.0,,남향,"110A/84m², 저/19층, 남향",선방 제공,25.07.11,56,2025-07-02 10:00:55,래미안하이리버,서울특별시 성동구 금호동2가 1217,110.73A/84.98,166500.0,172500.0,181000.0,하이리버공인,02-2253-5500,1500.0,0.9,래미안하이리버,110A
