네이버_수집일시,네이버_단지명,네이버_시도,네이버_시군구,네이버_읍면동,네이버_공급면적,네이버_매매가,네이버_매매가_숫자,네이버_층정보,네이버_방향,네이버_상세정보,네이버_부동산사무소,네이버_확인일자,네이버_매물순번,KB_수집일시,KB_단지명,KB_주소,KB_공급면적,KB_하위평균,KB_일반평균,KB_상위평균,KB_부동산사무소,KB_전화번호,가격차이_만원,가격차이_비율,정규화단지명,공급면적_숫자
2025-07-10 23:47:08,휴먼시아5단지 508동,경기도,광명시,소하동,109A/84,"7억 6,000",76000.0,1/13층,남향,"109A/84m², 1/13층, 남향",매경부동산 제공,25.07.10,12,2025-07-01 20:48:24,휴먼시아5단지,경기도 광명시 소하동 1294,109.68A탑층/84.83,83500.0,86000.0,87500.0,진공인,02-898-1114,7500.0,8.98,휴먼시아5단지,109A
2025-07-10 23:47:08,휴먼시아5단지 508동,경기도,광명시,소하동,109A/84,"7억 6,000",76000.0,1/13층,남향,"109A/84m², 1/13층, 남향",부동산렛츠 제공,25.07.09,59,2025-07-01 20:48:24,휴먼시아5단지,경기도 광명시 소하동 1294,109.68A탑층/84.83,83500.0,86000.0,87500.0,진공인,02-898-1114,7500.0,8.98,휴먼시아5단지,109A
2025-07-10 23:47:08,휴먼시아5단지 508동,경기도,광명시,소하동,109A/84,"7억 6,000",76000.0,1/13층,남향,"109A/84m², 1/13층, 남향",부동산써브 제공,25.06.19,74,2025-07-01 20:48:24,휴먼시아5단지,경기도 광명시 소하동 1294,109.68A탑층/84.83,83500.0,86000.0,87500.0,진공인,02-898-1114,7500.0,8.98,휴먼시아5단지,109A
2025-07-10 23:47:08,휴먼시아5단지 508동,경기도,광명시,소하동,109A/84,"7억 6,000",76000.0,1/13층,남향,"109A/84m², 1/13층, 남향",매경부동산 제공,25.06.19,75,2025-07-01 20:48:24,휴먼시아5단지,경기도 광명시 소하동 1294,109.68A탑층/84.83,83500.0,86000.0,87500.0,진공인,02-898-1114,7500.0,8.98,휴먼시아5단지,109A
2025-07-10 23:47:08,휴먼시아5단지 501동,경기도,광명시,소하동,109A/84,"7억 7,000",77000.0,,남향,"109A/84m², 저/12층, 남향",매경부동산 제공,25.07.07,53,2025-07-01 20:48:24,휴먼시아5단지,경기도 광명시 소하동 1294,109.68A탑층/84.83,83500.0,86000.0,87500.0,진공인,02-898-1114,6500.0,7.78,휴먼시아5단지,109A
2025-07-10 23:47:08,휴먼시아5단지 507동,경기도,광명시,소하동,109A/84,"7억 9,000",79000.0,,남향,"109A/84m², 저/12층, 남향",매경부동산 제공,25.06.28,85,2025-07-01 20:48:24,휴먼시아5단지,경기도 광명시 소하동 1294,109.68A탑층/84.83,83500.0,86000.0,87500.0,진공인,02-898-1114,4500.0,5.39,휴먼시아5단지,109A
2025-07-10 23:48:29,휴먼시아7단지 711동,경기도,광명시,소하동,125B/101,"8억 3,000",83000.0,,남향,"125B/101m², 저/13층, 남향",이실장플러스 제공,25.06.16,86,2025-07-01 20:48:49,휴먼시아7단지,경기도 광명시 소하동 1348,125.08B탑층/101.94,87500.0,88500.0,90000.0,정보없음,정보없음,4500.0,5.14,휴먼시아7단지,125B
2025-07-10 23:48:29,휴먼시아7단지 708동,경기도,광명시,소하동,125B/101,"8억 4,000",84000.0,3/13층,남동향,"125B/101m², 3/13층, 남동향",매경부동산 제공,25.06.26,47,2025-07-01 20:48:49,휴먼시아7단지,경기도 광명시 소하동 1348,125.08B탑층/101.94,87500.0,88500.0,90000.0,정보없음,정보없음,3500.0,4.0,휴먼시아7단지,125B
2025-07-10 23:48:29,휴먼시아7단지 708동,경기도,광명시,소하동,125B/101,"8억 4,000",84000.0,,남향,"125B/101m², 저/13층, 남향",이실장플러스 제공,25.06.20,75,2025-07-01 20:48:49,휴먼시아7단지,경기도 광명시 소하동 1348,125.08B탑층/101.94,87500.0,88500.0,90000.0,정보없음,정보없음,3500.0,4.0,휴먼시아7단지,125B
2025-07-10 23:47:08,휴먼시아5단지 503동,경기도,광명시,소하동,109B/84,8억,80008.0,4/15층,남서향,"109B/84m², 4/15층, 남서향",매경부동산 제공,25.07.07,26,2025-07-01 20:48:24,휴먼시아5단지,경기도 광명시 소하동 1294,109.60B탑층/84.77,83500.0,86000.0,87500.0,진공인,02-898-1114,3492.0,4.18,휴먼시아5단지,109B
