네이버_수집일시,네이버_단지명,네이버_단지코드,네이버_시도,네이버_시군구,네이버_읍면동,네이버_공급면적,네이버_매매가,네이버_매매가_숫자,네이버_층정보,네이버_방향,네이버_상세정보,네이버_부동산사무소,네이버_확인일자,네이버_매물순번,KB_수집일시,KB_단지명,KB_주소,KB_공급면적,KB_하위평균,KB_일반평균,KB_상위평균,KB_부동산사무소,KB_전화번호,가격차이_만원,가격차이_비율,정규화단지명,공급면적_숫자
2025-07-13 08:20:20,엘리스 1동,13679,서울시,동작구,신대방동,83/76,"4억 1,000",41000.0,,남향,"83/76m², 고/5층, 남향",부동산뱅크 제공,25.07.05,2,2025-07-02 06:08:05,엘리스,서울특별시 동작구 신대방동 366-176,83.12/76.92,58600.0,63700.0,68000.0,정보없음,정보없음,17600.0,30.03,엘리스,83
2025-07-13 07:36:35,남현그린 1동,122825,서울시,동작구,상도동,86B/77,"4억 9,000",49000.0,1/6층,북향,"86B/77m², 1/6층, 북향",부동산뱅크 제공,25.07.09,1,2025-07-02 05:50:33,남현그린,서울특별시 동작구 상도동 210-250,86.18B/77.42,51900.0,57400.0,61800.0,정보없음,정보없음,2900.0,5.59,남현그린,86B
2025-07-13 07:36:35,남현그린 1동,122825,서울시,동작구,상도동,86B/77,"4억 9,000",49000.0,,남향,"86B/77m², 저/6층, 남향",부동산뱅크 제공,25.06.24,4,2025-07-02 05:50:33,남현그린,서울특별시 동작구 상도동 210-250,86.18B/77.42,51900.0,57400.0,61800.0,정보없음,정보없음,2900.0,5.59,남현그린,86B
2025-07-13 07:36:35,남현그린 1동,122825,서울시,동작구,상도동,86B/77,"4억 9,000",49000.0,1/6층,북동향,"86B/77m², 1/6층, 북동향",매경부동산 제공,25.06.20,3,2025-07-02 05:50:33,남현그린,서울특별시 동작구 상도동 210-250,86.18B/77.42,51900.0,57400.0,61800.0,정보없음,정보없음,2900.0,5.59,남현그린,86B
2025-07-13 07:17:16,르메이에르 101동,8499,서울시,동작구,사당동,73/59,"6억 3,000",63000.0,1/16층,남서향,"73/59m², 1/16층, 남서향",부동산뱅크 제공,25.06.28,21,2025-07-02 05:40:29,르메이에르,서울특별시 동작구 사당동 1141,73.52/59.40,65000.0,68000.0,73000.0,금탑공인,02-598-4900,2000.0,3.08,르메이에르,73
2025-07-13 07:36:21,경향렉스빌 101동,8995,서울시,동작구,상도동,113A/84,"7억 9,000",79000.0,18/18층,남동향,"113A/84m², 18/18층, 남동향",산업부동산 제공,25.06.23,52,2025-07-02 05:50:20,경향렉스빌,서울특별시 동작구 상도동 445,113.48A/84.58,80500.0,85500.0,87500.0,연세공인,02-814-2800,1500.0,1.86,경향렉스빌,113A
2025-07-13 07:36:21,경향렉스빌 101동,8995,서울시,동작구,상도동,113A/84,"7억 9,000",79000.0,18/18층,남동향,"113A/84m², 18/18층, 남동향",부동산뱅크 제공,25.06.30,25,2025-07-02 05:50:20,경향렉스빌,서울특별시 동작구 상도동 445,113.48A/84.58,80500.0,85500.0,87500.0,연세공인,02-814-2800,1500.0,1.86,경향렉스빌,113A
2025-07-13 07:56:02,상도현대 102동,9176,서울시,동작구,상도동,72B/59,"6억 5,000",65000.0,3/15층,남향,"72B/59m², 3/15층, 남향",매경부동산 제공,25.07.11,6,2025-07-02 05:56:22,상도현대,서울특별시 동작구 상도동 412,72.98B/59.72,66000.0,70000.0,73000.0,학사공인,02-814-2500,1000.0,1.52,상도현대,72B
2025-07-13 07:56:02,상도현대 102동,9176,서울시,동작구,상도동,72B/59,"6억 5,000",65000.0,3/15층,남향,"72B/59m², 3/15층, 남향",매경부동산 제공,25.07.11,7,2025-07-02 05:56:22,상도현대,서울특별시 동작구 상도동 412,72.98B/59.72,66000.0,70000.0,73000.0,학사공인,02-814-2500,1000.0,1.52,상도현대,72B
2025-07-13 07:56:02,상도현대 102동,9176,서울시,동작구,상도동,72B/59,"6억 5,000",65000.0,3/15층,남향,"72B/59m², 3/15층, 남향",부동산뱅크 제공,25.07.10,12,2025-07-02 05:56:22,상도현대,서울특별시 동작구 상도동 412,72.98B/59.72,66000.0,70000.0,73000.0,학사공인,02-814-2500,1000.0,1.52,상도현대,72B
2025-07-13 07:56:02,상도현대 102동,9176,서울시,동작구,상도동,72B/59,"6억 5,000",65000.0,3/15층,남향,"72B/59m², 3/15층, 남향",부동산뱅크 제공,25.07.04,30,2025-07-02 05:56:22,상도현대,서울특별시 동작구 상도동 412,72.98B/59.72,66000.0,70000.0,73000.0,학사공인,02-814-2500,1000.0,1.52,상도현대,72B
2025-07-13 08:11:10,벽산 102동,936,서울시,동작구,신대방동,102/75,"7억 8,500",78500.0,3/12층,남서향,"102/75m², 3/12층, 남서향",부동산써브 제공,25.07.10,1,2025-07-02 06:04:50,벽산,서울특별시 동작구 신대방동 709,102.39/75.42,79000.0,81000.0,83000.0,하늘공인,02-822-0990,500.0,0.63,벽산,102
2025-07-13 08:11:10,벽산 102동,936,서울시,동작구,신대방동,102/75,"7억 8,500",78500.0,3/12층,남서향,"102/75m², 3/12층, 남서향",매경부동산 제공,25.07.08,8,2025-07-02 06:04:50,벽산,서울특별시 동작구 신대방동 709,102.39/75.42,79000.0,81000.0,83000.0,하늘공인,02-822-0990,500.0,0.63,벽산,102
2025-07-13 07:44:26,래미안상도3차 315동,9194,서울시,동작구,상도동,139/114,"14억 3,000",143000.0,,동향,"139/114m², 저/15층, 동향",부동산뱅크 제공,25.06.20,301,2025-07-02 05:51:34,래미안상도3차,서울특별시 동작구 상도동 431,139.88/114.97,143500.0,152000.0,158000.0,탑(02-826-3114래미안단지내)공인,02-826-3114,500.0,0.35,래미안상도3차,139
2025-07-13 07:44:26,래미안상도3차 315동,9194,서울시,동작구,상도동,139/114,"14억 3,000",143000.0,,동향,"139/114m², 저/15층, 동향",부동산뱅크 제공,25.06.28,239,2025-07-02 05:51:34,래미안상도3차,서울특별시 동작구 상도동 431,139.88/114.97,143500.0,152000.0,158000.0,탑(02-826-3114래미안단지내)공인,02-826-3114,500.0,0.35,래미안상도3차,139
2025-07-13 07:44:26,래미안상도3차 315동,9194,서울시,동작구,상도동,139/114,"14억 3,000",143000.0,,동향,"139/114m², 저/15층, 동향",부동산뱅크 제공,25.06.27,249,2025-07-02 05:51:34,래미안상도3차,서울특별시 동작구 상도동 431,139.88/114.97,143500.0,152000.0,158000.0,탑(02-826-3114래미안단지내)공인,02-826-3114,500.0,0.35,래미안상도3차,139
2025-07-13 07:44:26,래미안상도3차 315동,9194,서울시,동작구,상도동,139/114,"14억 3,000",143000.0,,동향,"139/114m², 저/15층, 동향",매경부동산 제공,25.07.08,116,2025-07-02 05:51:34,래미안상도3차,서울특별시 동작구 상도동 431,139.88/114.97,143500.0,152000.0,158000.0,탑(02-826-3114래미안단지내)공인,02-826-3114,500.0,0.35,래미안상도3차,139
2025-07-13 07:44:26,래미안상도3차 315동,9194,서울시,동작구,상도동,139/114,"14억 3,000",143000.0,,남향,"139/114m², 저/15층, 남향",부동산뱅크 제공,25.07.09,106,2025-07-02 05:51:34,래미안상도3차,서울특별시 동작구 상도동 431,139.88/114.97,143500.0,152000.0,158000.0,탑(02-826-3114래미안단지내)공인,02-826-3114,500.0,0.35,래미안상도3차,139
2025-07-13 07:44:26,래미안상도3차 315동,9194,서울시,동작구,상도동,139/114,"14억 3,000",143000.0,,동향,"139/114m², 저/15층, 동향",부동산뱅크 제공,25.07.11,75,2025-07-02 05:51:34,래미안상도3차,서울특별시 동작구 상도동 431,139.88/114.97,143500.0,152000.0,158000.0,탑(02-826-3114래미안단지내)공인,02-826-3114,500.0,0.35,래미안상도3차,139
2025-07-13 07:44:26,래미안상도3차 315동,9194,서울시,동작구,상도동,139/114,"14억 3,000",143000.0,,동향,"139/114m², 저/15층, 동향",부동산뱅크 제공,25.06.26,257,2025-07-02 05:51:34,래미안상도3차,서울특별시 동작구 상도동 431,139.88/114.97,143500.0,152000.0,158000.0,탑(02-826-3114래미안단지내)공인,02-826-3114,500.0,0.35,래미안상도3차,139
2025-07-13 08:11:10,벽산 102동,936,서울시,동작구,신대방동,102/75,"7억 8,500",78500.0,3/12층,남향,"102/75m², 3/12층, 남향",매경부동산 제공,25.06.16,32,2025-07-02 06:04:50,벽산,서울특별시 동작구 신대방동 709,102.39/75.42,79000.0,81000.0,83000.0,하늘공인,02-822-0990,500.0,0.63,벽산,102
2025-07-13 08:11:10,벽산 102동,936,서울시,동작구,신대방동,102/75,"7억 8,500",78500.0,,남향,"102/75m², 저/12층, 남향",이실장플러스 제공,25.07.08,17,2025-07-02 06:04:50,벽산,서울특별시 동작구 신대방동 709,102.39/75.42,79000.0,81000.0,83000.0,하늘공인,02-822-0990,500.0,0.63,벽산,102
2025-07-13 08:11:10,벽산 102동,936,서울시,동작구,신대방동,102/75,"7억 8,500",78500.0,,남향,"102/75m², 저/12층, 남향",부동산114 제공,25.06.19,34,2025-07-02 06:04:50,벽산,서울특별시 동작구 신대방동 709,102.39/75.42,79000.0,81000.0,83000.0,하늘공인,02-822-0990,500.0,0.63,벽산,102
2025-07-13 07:15:39,두산위브트레지움 101동,102142,서울시,동작구,사당동,153/116,18억,180018.0,1/28층,남서향,"153/116m², 1/28층, 남서향",매경부동산 제공,25.07.12,8,2025-07-02 05:39:23,두산위브트레지움,서울특별시 동작구 사당동 1131,153.69/116.61,180500.0,190000.0,199000.0,윤지공인,02-3482-8986,482.0,0.27,두산위브트레지움,153
2025-07-13 07:15:39,두산위브트레지움 101동,102142,서울시,동작구,사당동,153/116,18억,180018.0,1/28층,남향,"153/116m², 1/28층, 남향",매경부동산 제공,25.07.12,39,2025-07-02 05:39:23,두산위브트레지움,서울특별시 동작구 사당동 1131,153.69/116.61,180500.0,190000.0,199000.0,윤지공인,02-3482-8986,482.0,0.27,두산위브트레지움,153
