네이버_수집일시,네이버_단지명,네이버_시도,네이버_시군구,네이버_읍면동,네이버_공급면적,네이버_매매가,네이버_매매가_숫자,네이버_층정보,네이버_방향,네이버_상세정보,네이버_부동산사무소,네이버_확인일자,네이버_매물순번,KB_수집일시,KB_단지명,KB_주소,KB_공급면적,KB_하위평균,KB_일반평균,KB_상위평균,KB_부동산사무소,KB_전화번호,가격차이_만원,가격차이_비율,정규화단지명,공급면적_숫자
2025-07-02 20:57:04,킨텍스자이 101동,경기도,고양시 일산서구,대화동,176/134,"5억 3,000",53000.0,10/16층,남향,"176/134m², 10/16층, 남향",매경부동산 제공,25.06.27,14,2025-07-01 19:55:19,킨텍스자이,경기도 고양시 일산서구 대화동 1499,176.47/134.04,57000.0,61000.0,63500.0,한라공인,031-918-9300,4000.0,7.02,킨텍스자이,176.0
2025-07-02 21:00:26,하이파크시티일산아이파크1단지 104동,경기도,고양시 일산서구,덕이동,207P/175,"6억 9,500",69500.0,,남향,"207P/175m², 중/26층, 남향",매경부동산 제공,25.07.02,18,2025-07-01 19:57:56,하이파크시티일산아이파크1단지,경기도 고양시 일산서구 덕이동 1524,207.87P/175.84,72000.0,74000.0,77500.0,하이파크공인,031-904-5000,2500.0,3.47,하이파크시티일산아이파크1단지,207.0
2025-07-02 20:59:23,동양라파크 105동,경기도,고양시 일산서구,덕이동,165/129,"4억 2,000",42000.0,,남향,"165/129m², 고/15층, 남향",매경부동산 제공,25.06.23,13,2025-07-01 19:57:06,동양라파크,경기도 고양시 일산서구 덕이동 382-13,165.64/129.87,44000.0,47000.0,49000.0,태영부동산공인,031-925-6611,2000.0,4.55,동양라파크,165.0
2025-07-02 20:57:24,킨텍스휴먼빌 601동,경기도,고양시 일산서구,대화동,105A/84,"3억 5,500",35500.0,1/14층,남동향,"105A/84m², 1/14층, 남동향",아실 제공,25.07.01,6,2025-07-01 19:55:34,킨텍스휴먼빌,경기도 고양시 일산서구 대화동 2570,105.76A/84.36,36750.0,40500.0,43500.0,정보없음,정보없음,1250.0,3.4,킨텍스휴먼빌,105.0
2025-07-02 20:57:43,킨텍스휴먼빌 601동,경기도,고양시 일산서구,대화동,105A/84,"3억 5,500",35500.0,1/14층,남동향,"105A/84m², 1/14층, 남동향",아실 제공,25.07.01,6,2025-07-01 19:55:34,킨텍스휴먼빌,경기도 고양시 일산서구 대화동 2570,105.76A/84.36,36750.0,40500.0,43500.0,정보없음,정보없음,1250.0,3.4,킨텍스휴먼빌,105.0
2025-07-02 21:01:47,하이파크시티일산파밀리에4단지 403동,경기도,고양시 일산서구,덕이동,214/173,7억,70007.0,3/26층,남향,"214/173m², 3/26층, 남향",매경부동산 제공,25.07.02,3,2025-07-01 19:59:05,하이파크시티일산파밀리에4단지,경기도 고양시 일산서구 덕이동 1535,214.42/173.77,71000.0,76000.0,78500.0,하이파크공인,031-904-5000,993.0,1.4,하이파크시티일산파밀리에4단지,214.0
