네이버_수집일시,네이버_단지명,네이버_시도,네이버_시군구,네이버_읍면동,네이버_공급면적,네이버_매매가,네이버_매매가_숫자,네이버_층정보,네이버_방향,네이버_상세정보,네이버_부동산사무소,네이버_확인일자,네이버_매물순번,KB_수집일시,KB_단지명,KB_주소,KB_공급면적,KB_하위평균,KB_일반평균,KB_상위평균,KB_부동산사무소,KB_전화번호,가격차이_만원,가격차이_비율,정규화단지명,공급면적_숫자
2025-07-02 20:29:19,현대그린 B동,경기도,고양시 일산동구,사리현동,52/38,"6,800",6800.0,5/5층,남동향,"52/38m², 5/5층, 남동향",매경부동산 제공,25.06.26,1,2025-07-01 19:31:37,현대그린,경기도 고양시 일산동구 사리현동 466-1,52.70/38.52,7450.0,8150.0,8650.0,좋은터동문공인,031-963-8855,650.0,8.72,현대그린,52.0
2025-07-02 20:29:19,현대그린 B동,경기도,고양시 일산동구,사리현동,52/38,"7,000",7000.0,5/5층,남향,"52/38m², 5/5층, 남향",매경부동산 제공,25.06.26,6,2025-07-01 19:31:37,현대그린,경기도 고양시 일산동구 사리현동 466-1,52.70/38.52,7450.0,8150.0,8650.0,좋은터동문공인,031-963-8855,450.0,6.04,현대그린,52.0
2025-07-02 20:29:19,현대그린 B동,경기도,고양시 일산동구,사리현동,52/38,"7,000",7000.0,5/5층,남향,"52/38m², 5/5층, 남향",한국공인중개사협회 제공,,16,2025-07-01 19:31:37,현대그린,경기도 고양시 일산동구 사리현동 466-1,52.70/38.52,7450.0,8150.0,8650.0,좋은터동문공인,031-963-8855,450.0,6.04,현대그린,52.0
2025-07-02 20:29:19,현대그린 C동,경기도,고양시 일산동구,사리현동,52/38,"7,200",7200.0,5/5층,남향,"52/38m², 5/5층, 남향",부동산뱅크 제공,25.06.16,7,2025-07-01 19:31:37,현대그린,경기도 고양시 일산동구 사리현동 466-1,52.70/38.52,7450.0,8150.0,8650.0,좋은터동문공인,031-963-8855,250.0,3.36,현대그린,52.0
