네이버_수집일시,네이버_단지명,네이버_단지코드,네이버_시도,네이버_시군구,네이버_읍면동,네이버_공급면적,네이버_매매가,네이버_매매가_숫자,네이버_층정보,네이버_방향,네이버_상세정보,네이버_부동산사무소,네이버_확인일자,네이버_매물순번,KB_수집일시,KB_단지명,KB_주소,KB_공급면적,KB_하위평균,KB_일반평균,KB_상위평균,KB_부동산사무소,KB_전화번호,가격차이_만원,가격차이_비율,정규화단지명,공급면적_숫자
2025-07-16 08:47:57,그랑드빌 101동,10808,인천시,강화군,강화읍,107/84,"1억 7,000",17000.0,2/12층,동향,"107/84m², 2/12층, 동향",부동산써브 제공,25.07.12,1,2025-07-02 18:50:08,그랑드빌,인천광역시 강화군 강화읍 165-1,107.44/84.89,18000.0,18500.0,19000.0,삼성공인,032-934-2063,1000.0,5.56,그랑드빌,107
2025-07-16 08:47:57,그랑드빌 101동,10808,인천시,강화군,강화읍,107/84,"1억 7,000",17000.0,,남동향,"107/84m², 저/12층, 남동향",부동산뱅크 제공,25.07.10,2,2025-07-02 18:50:08,그랑드빌,인천광역시 강화군 강화읍 165-1,107.44/84.89,18000.0,18500.0,19000.0,삼성공인,032-934-2063,1000.0,5.56,그랑드빌,107
2025-07-16 08:47:58,그랑드빌 101동,10808,인천시,강화군,강화읍,107/84,"1억 7,000",17000.0,,남동향,"107/84m², 저/12층, 남동향",부동산써브 제공,25.06.25,7,2025-07-02 18:50:08,그랑드빌,인천광역시 강화군 강화읍 165-1,107.44/84.89,18000.0,18500.0,19000.0,삼성공인,032-934-2063,1000.0,5.56,그랑드빌,107
2025-07-16 08:50:14,세광엔리치빌1차 103동,26056,인천시,강화군,선원면,109/84,"1억 7,000",17000.0,,남향,"109/84m², 저/15층, 남향",부동산써브 제공,25.06.26,16,2025-07-02 18:52:46,세광엔리치빌1차,인천광역시 강화군 선원면 663,109.91/84.99,17500.0,18500.0,20000.0,정보없음,정보없음,500.0,2.86,세광엔리치빌1차,109
2025-07-16 08:50:14,세광엔리치빌1차 107동,26056,인천시,강화군,선원면,109/84,"1억 7,000",17000.0,1/15층,동향,"109/84m², 1/15층, 동향",부동산써브 제공,25.06.17,17,2025-07-02 18:52:46,세광엔리치빌1차,인천광역시 강화군 선원면 663,109.91/84.99,17500.0,18500.0,20000.0,정보없음,정보없음,500.0,2.86,세광엔리치빌1차,109
2025-07-16 08:47:42,강화현대 102동,2249,인천시,강화군,강화읍,106/84,"1억 9,800",19800.0,10/15층,남서향,"106/84m², 10/15층, 남서향",한국공인중개사협회 제공,,5,2025-07-02 18:49:56,강화현대,인천광역시 강화군 강화읍 667,106.69/84.89,20000.0,21000.0,22000.0,연지곤지공인,정보없음,200.0,1.0,강화현대,106
