네이버_수집일시,네이버_단지명,네이버_시도,네이버_시군구,네이버_읍면동,네이버_공급면적,네이버_매매가,네이버_매매가_숫자,네이버_층정보,네이버_방향,네이버_상세정보,네이버_부동산사무소,네이버_확인일자,네이버_매물순번,KB_수집일시,KB_단지명,KB_주소,KB_공급면적,KB_하위평균,KB_일반평균,KB_상위평균,KB_부동산사무소,KB_전화번호,가격차이_만원,가격차이_비율,정규화단지명,공급면적_숫자
2025-07-03 07:15:28,낙원 1동,경기도,성남시 수정구,단대동,108/84,"4억 8,000",48000.0,7/10층,남향,"108/84m², 7/10층, 남향",매경부동산 제공,25.06.16,1,2025-07-02 04:47:02,낙원,경기도 성남시 수정구 단대동 3,108.26/84.17,50000.0,52400.0,55000.0,정보없음,정보없음,2000.0,4.0,낙원,108.0
2025-07-03 07:15:28,낙원 1동,경기도,성남시 수정구,단대동,138/111,6억,60006.0,9/10층,남동향,"138/111m², 9/10층, 남동향",부동산포스 제공,25.06.14,2,2025-07-02 04:47:02,낙원,경기도 성남시 수정구 단대동 3,138.58/111.34,60700.0,64300.0,68000.0,정보없음,정보없음,694.0,1.14,낙원,138.0
